Participant_ID,CATQ_Compensation,CATQ_Masking,CATQ_Assimilation,CATQ_Total,NR6_Score,Age,Ethnicity,Gender,Education,Response_Q1_Natural_World_Importance,Response_Q2_Favorite_Things,Response_Q3_Nature_Knowledge
1,33,30,30,93,17,18-24,White,Man,High school,I like nature,"singing birds, the sound of the sea",platypuses are mammals that lay eggs
2,26,43,15,84,28,25-34,Black,Woman,Bachelor's,It gives balance to humans,It is relaxing,That the natural world and humans need each other for survival
3,17,19,14,50,28,25-34,White,Man,Master's,"In every single way.
The world must be as natural as possible.
The people living in it, the environment.",Rock climbing,"I have the interest to understand the fauna in general, why is that species living only in that continent and not on the other. Mostly african continent fascinates me."
4,40,48,10,98,27,25-34,White,Woman,Bachelor's,The natural world is very important to me particularly in terms of mental health. Being outside in the fresh air and sun is the most relaxing feeling for me and my favourite place to be is by the ocean.,"Breathing in fresh air, feeling the sun, and listening to the ocean.","I don't have extensive knowledge about the natural world but I do know a lot about animals, particularly cats."
5,45,38,22,105,28,18-24,Hispanic,Woman,Bachelor's,"Very much, I believe it's where I can be myself and where the people I love live","the air, the breeze in my face.","About plant, I have always been interested in biology, and actually I'm studying it "
6,30,32,27,89,25,25-34,Hispanic,Woman,Bachelor's,"Besides being essential for the human kind, the more I grow up the more I need some spaces to have some peace of mind, and that's nature to me. I feel very relaxed when I'm looking at the sky, or when it's a bit windy, or on sunsets/sunrises.","The wind in my face, the colors."," I do not know something specific or that I carry with me on my mind, but I often watch documentaries about animals. "
7,45,30,39,114,26,25-34,Hispanic,Man,Bachelor's,"Its the core of our world, it calms and relaxes me",How safe and comfy i feel,"I been reading about nature, plants and the animal kingdom since i was a child, i had lots of books of the subject"
8,35,38,29,102,20,25-34,White,Woman,Bachelor's,In order to make me feel in peace and relaxed,Walking around the woods and be at the beach just watching the sea,I confess I don't have a lot of knowledge
9,28,26,31,85,15,18-24,White,Non-binary,High school,"Being around nature makes me feel better, more peaceful, happier. I live in the city but I like to get away sometimes and be immersed in nature. I love streets lined with trees. I love water and swimming. I hate bugs and insects.","Water, sunshine, warm weather, sunsets, the stars, the beauty, feeling inspired, feeling calm and admiring the world.","I don't know that much but I have quite a few houseplants. I could be better at taking care of them, though"
10,24,28,30,82,14,18-24,"Black,White",Woman,High school,It helps concentrate and faith in the world from time to time,"The grass, the sound and the scenario",there's a animal that a I love called penguins. Thy are very cute and their feathers are very special. I like the way they slide
11,34,42,42,118,12,35-44,Asian,Woman,Bachelor's,"I'm not an outdoor person, but I do understand the value of nature for others and other species as it has direct consequences to my life as well. I think by being able to preserve the natural world (by preserving meaning finding means to combat climate change), it will ensure human's ability to survive. ","Again, as I'm not an outdoor person I don't generally like be ""in"" nature, however I do like the heat that I feel from the sun.  I like the night sky when I look up and see stars.   I enjoy occasionally seeing animals in my path.","I know the basics as learned in school (e.g. the water cycle, how rocks form, how plants/cells work) however I do not have any specific knowledge of any of that in detail. I do enjoy the occasional documentary such as the planet earth series."
12,28,13,47,88,28,18-24,White,Woman,High school,It is the most important one because it makes me feel connected to something true rather than the fake made up world humans brought on. It makes me feel peace. ,"I love feeling the air, looking at the sea or the grass, seeing something that was there without humans' actions. ",I lately learnt the very painful and unique way hyenas give birth to their cubs and that they have similar genitals as the males. 
13,35,37,33,105,20,55-64,White,Woman,Other,It's important to me because it gives me power and energy,I like walking in nature. It makes me feel relaxed and empowered ,I have no particular knowledge about the natural world 
14,45,36,34,115,18,25-34,White,Woman,Bachelor's,be alone with nature and restore energy,water element,it is hard to say
15,41,36,16,93,23,25-34,White,Man,Master's,i think the enviroment is one of the most important things considering of what gives to humanity,i like the rain i like seeing animals in their natural habitat,"i watch a lot of documentaries so i know a lot about tigers, elephants etc"
16,37,37,35,109,30,45-54,White,Woman,Master's,"It's everything for me, it helps me feeling grounded, calm and relaxed","walking in nature, watch the different trees and flowers, collect some items like leaves, pebbles, pine cones etc.","my knowledge is basic, but I'd like to improve it"
17,35,43,37,115,15,25-34,Hispanic,Woman,Bachelor's,"it is really important because without it, we simply can't keep living, nor will our children","the views, the sounds, the smell of nature, i love being able to witness nature with my own eyes and not through a picture","i know octopuses make gardens just for the looks of it, not for any survival or instictive reason, they just like gardens and like to have cute gardens."
18,29,33,26,88,16,25-34,Black,Woman,Bachelor's,It is relaxing and replenishes energy,Fresh air and freedom,I know different kinds of animals and good places where there are attractive natural sites.
19,45,40,31,116,23,18-24,White,Man,Bachelor's,Natural world is very important for me - I try my best to keep sustainable development.,Just feelin relax (especially in summer). ,For example - capybara is the largest rodent in the world :)
20,29,41,22,92,21,18-24,White,Non-binary,High school,"The natural world provides a reprieve from the anxieties of everyday life for me. Every night I walk around for my city for at least an hour, but usually more, to clear my head and relax. Without this outlet, I'm not sure how I would cope with my anxiety","The fresh air and space. I often feel trapped indoors a lot, especially if I'm stressed. Being in nature is very freeing in this way. I like the ability to explore and observe nature, trying to pay attention to things I otherwise wouldn't notice. ","I wouldn't say I have super in-depth knowledge about the natural world. I like being in nature and watching nature, but not researching it"
21,35,47,24,106,27,18-24,Hispanic,Man,Bachelor's,"In many matters, first off the obvious one being that if it dies we die, next up is the connection I feel to both plants and animals, with which I like interacting a lot and finally the peace that comes with being in a very natural place like a forest or so","The feeling of freedom that comes with it, feeling part of the world and free of any other stress caused by daily life","I like learning about animals, a lot. I spend time reading and comprehending what each different type of animal likes, does, eats, etc, specially big cats like tigers and lions, as well as reptiles"
22,36,39,35,110,18,18-24,Hispanic,Woman,Bachelor's,"A lot, I really like contemplating everything that nature gives us",The views and the smells,"I don't know much about plants, but I know some things about animals, especially reptiles, which are my favorites"
23,36,19,36,91,13,18-24,Hispanic,Non-binary,Other,I think it's important 'cause it's the main resources source and we (as humans) don't realize that yet.,"I don't really enjoy being in nature, but I like the ocean, so I'm saying: ""be in the beach, enjoying the waves sound and the sea feeling"".","Being honest, I don't know that much to say I have ""kind of knowledge"" besides what the school teaches about it"
24,43,33,35,111,21,25-34,White,Man,Master's,the natural world is important for understanding how things work,just feel the nature,"Since I was a little boy, I interact with nature because I grew up in a rural environment."
25,43,36,42,121,18,18-24,White,Man,High school,"Beauty, resources. Vital part for survival",Finding new stuff,Quite good understanding of different mechanisms and species. 
26,33,41,26,100,22,18-24,Black,Woman,Bachelor's,Originality and authenticity,Looking up in the skies.,"That whatever natural object you see, it calms your mind and reminds you that its all okay."
27,45,36,31,112,26,25-34,White,Man,Bachelor's,A man communing in the bosom of nature can take a break from everyday life,"walks, picnics",polar bear fur is transparent
28,40,47,13,100,28,18-24,Black,Man,High school,"The natural world is important to me as the natural world gives life to humans and also supplies necessary resources to them. People need food to survive. The natural world offers them vegetables, fruits, and meat to eat,","I like walking over the earth with my kids and watching them frolic and play as they move freely on the earth, spinning, laughing, and dancing. I like walking barefoot in the snow and drinking hot coffee outside in the cold of winter. Although I know there are so many documented benefits of being outdoors, for me, it's the experience of connecting with something bigger than my own little self the way the living earth shows me every day the ways that we are all connected and interdependent.","There are approximately 27,000 indigenous species in South Africa and 9,000 foreign plant species that have been introduced over the past few centuries. Of these 9,000 exotic or alien introductions, 348 have been identified as ""bad,"" ecologically damaging, invader plants."
29,38,32,35,105,20,18-24,White,Man,Bachelor's,It is important to me to take care of it and live ecologically.,"Calm, fresh air","I don't know much, but I know a little about marijuana, it's relaxing and healing"
30,28,22,37,87,28,18-24,White,Woman,Bachelor's,It is important to me because it reduces stress and anxiety and makes me feel connected with myself and the world.,The smells and the serenity.,I love plants. I love learning more about them and watching their growth.
31,19,16,17,52,23,25-34,White,Man,High school,It is very important to me for going for walks and seeing the nature interacting with each other ,All the living things roaming around ,I have very basic knowledge about the natural world.
32,23,33,33,89,27,18-24,Multiracial,Woman,Bachelor's,"Well I think it is essential. I would say I am a city person, I need to live somewhere where things are happening and I can socialize when I feel the need to. But, I also don't like being in a too crowded city where there is no nature. I need a balance of it, I need to be able to have peace and quiet in nature whenever I want to.","Nature is quiet and calming. I always feel more relaxed and attentive when in nature. I am able to focus more on myself, my surroundings and the people that may be with me. The air is pure, the sounds are enchanting and the possible animals and vegetation are a delight.","I would say I am pretty knowledgeable when it comes to certain animals. I love dogs and wolfs the most so I know a lot about the different breeds, appearances, personality and characteristics of those. I also know a lot about Nordic countries and Lapland especially, about the kind of nature and fauna and flora you may encounter."
33,17,26,16,59,20,25-34,Hispanic,Woman,Bachelor's,It is important because you create friendships and sincere ties and for me it is very significant because I do not like being a fake person.,"enjoy real things in real time, live without haste, listen to noises and not be looking at the clock at all times but enjoying",I have traveled multiple times and have learned about plants and monuments that are currently considered wonders of the world. It has been very interesting for me to measure how humans have been able to build large buildings from scratch and with very different techniques than those used today.
34,28,35,30,93,25,25-34,Black,Woman,Bachelor's,It's important because that is where real life events happen and natural interaction takes place. ,"Connecting with the environment away from the superficial world is very rewarding, it brings about inner peace and self reflection. ","A gardenia plant is beautiful, it has some nice blooms which give a beautiful fragrance. It flowers through spring and summer. The flowers turn brown when they mature. "
35,40,44,25,109,23,45-54,Hispanic,Man,Bachelor's,"The answer is very simple, if we are not interested in the natural world, we could not exist, we must enjoy it, take care of it and understand it","the mere fact of walking, contemplating and feeling what surrounds us","I don't have a particular topic, but I know a little about everything"
36,31,22,37,90,17,35-44,White,Man,Bachelor's,because it represents the valuable resources to which humans (and other species) have access.,"I like to enjoy the fresh air, to be able to breathe fully, and to feel different senses (sight, smell, touch).","I have no specific knowledge. I know some kinds of mushrooms, but it is only a very small part of the species."
37,18,20,16,54,20,18-24,Hispanic,Man,Bachelor's,"For me the natural world is essential. Not only because after all, it is what keeps us alive, but also because i can't stand cities. I get sick and the air is always really charged. Too much people in such little space.",The fresh air and the feeling of freedom. The sensation of living somewhere where the human influence hasn't reached yet.,"I know no specifics. I never studied anything about nature in specific other than what i saw at school. The usual stuff about living circle, the different kingdoms, how plants get nutrients. One interesting as well as disturbing fact about lions for example, is that once they gain control of a herd, they kill all the cubs from the previous leader so they can't challenge him."
38,45,36,43,124,29,25-34,White,Man,Bachelor's,Constant discovery. I can find interesting things all the time. I can learn and develop my character during outdoor activity. It is important cause I like animals and outdoor activity.,"Doing outdoor sports and being with animals. It is a fulfilling thing to pet an animal or see a rare species. 
My favorite activities all related to outdoor sports.","I have some knowledge on meteorology, cartography. I know well some mountain regions.
Also I worked in farming, so I have some knowledge on calves and cows. I know some extent how to train a dog."
39,39,38,27,104,20,18-24,White,Man,High school,"Extremely important. In a world conquered by streets, buildings and machine-made objects, I feel that the importance of the contact with nature has been forgotten. ","The peace, the smells and the calmness.","Not much. I know a thing or two, but I consider myself illiterate when it comes to knowledge about the nature world."
